genus_identify,mock_01,mock_02,mock_03,mock_04,mock_05,mock_06,mock_07,mock_08,mock_09,mock_10
DeepMicrobes,1,1,1,1,1,1,1,1,1,1
Centrifuge,1,0.9714286,0.9714286,1,0.9428571,0.9714286,0.9428571,1,0.9714286,1
CLARK,0.8857143,0.8857143,0.8857143,0.8857143,0.8857143,0.8857143,0.8857143,0.8857143,0.8857143,0.8857143
CLARK-S,0.8857143,0.8857143,0.8857143,0.8857143,0.8857143,0.8857143,0.8857143,0.8857143,0.8857143,0.8857143
Kraken,0.8285714,0.8285714,0.8285714,0.8285714,0.8285714,0.8285714,0.8285714,0.8285714,0.8285714,0.8285714
Kraken 2,0.9142857,0.9142857,0.9142857,0.9142857,0.9142857,0.9142857,0.9142857,0.9142857,0.9142857,0.9142857
BLAST-MEGAN,0.9714286,0.9714286,0.9714286,0.9714286,0.9428571,1,0.9142857,0.9428571,1,0.9714286
Diamond-MEGAN,1,1,1,1,1,1,1,1,1,1
Kaiju,1,1,1,1,1,1,1,1,1,1
