Tool,mock_01,mock_02,mock_03,mock_04,mock_05,mock_06,mock_07,mock_08,mock_09,mock_10
DeepMicrobes,88.42604,91.86969,90.19212,86.77777,88.32383,90.0024,90.4522,89.82873,89.16462,88.93822
Centrifuge,41.06968,41.32794,35.30049,46.45139,45.27565,41.38035,44.30581,46.04453,37.446,47.62883
CLARK,70.69976,65.67044,69.17969,42.7835,63.9654,58.48029,71.0537,69.75276,60.95166,70.52373
CLARK-S,72.60206,67.64835,73.48322,48.9384,67.25751,62.02227,74.45735,73.06799,65.54576,73.09869
Kraken,65.4096,58.20408,58.21169,33.67503,58.79258,50.8346,50.72817,65.02301,55.95021,63.48525
Kraken 2,64.20389,57.43019,60.36473,33.85711,56.90729,51.53658,60.22934,61.93877,54.87166,63.91553
BLAST-MEGAN,55.40423,49.15725,55.85095,48.93976,58.28231,52.72606,55.61355,60.56388,50.79332,62.53572
Diamond-MEGAN,49.32728,42.29755,38.2865,31.99091,40.82572,45.56273,47.12941,41.83812,36.26147,50.20927
Kaiju,64.13315,63.63946,79.21068,65.2784,63.91742,71.16969,75.23787,70.78605,66.09492,63.23716
