Tool,mock_01,mock_02,mock_03,mock_04,mock_05,mock_06,mock_07,mock_08,mock_09,mock_10
DeepMicrobes,0.001548821,0.002038279,0.003325585,0.00383803,0.002386363,0.002346239,0.002376358,0.002360564,0.001622689,0.002405065
Centrifuge,0.002410746,0.001636422,0.002900995,0.004282991,0.002296321,0.001750974,0.001868243,0.001765467,0.002188091,0.001688382
CLARK,0.004885433,0.004708131,0.004338647,0.00871862,0.005179198,0.003926707,0.003643935,0.003195049,0.00505276,0.004070515
CLARK-S,0.005546208,0.005013122,0.004049397,0.009196131,0.005330653,0.004323682,0.003578592,0.002971959,0.004761404,0.00460953
Kraken,0.006582063,0.00727831,0.00750928,0.01113662,0.006845111,0.006545302,0.008198386,0.00454536,0.00691512,0.005993924
Kraken 2,0.004915733,0.005328791,0.005099318,0.008895889,0.005463788,0.004338113,0.003956789,0.003313455,0.004975268,0.00439932
BLAST-MEGAN,0.009697126,0.005773748,0.009556864,0.02003114,0.007542007,0.006303301,0.007568067,0.005160008,0.006639265,0.006859353
Diamond-MEGAN,0.00538342,0.00364779,0.003962508,0.007394978,0.004765122,0.004642164,0.003168883,0.00318292,0.005082071,0.003558121
Kaiju,0.003960916,0.003128954,0.001433699,0.004156016,0.003740496,0.002274768,0.001653859,0.002326275,0.003332062,0.003412558
