Tool,mock_01,mock_02,mock_03,mock_04,mock_05,mock_06,mock_07,mock_08,mock_09,mock_10
DeepMicrobes,0.00607725,0.007363234,0.0522707,0.02805071,0.01218706,0.008319976,0.006514295,0.01187813,0.01322444,0.01334336
Centrifuge,0.004409562,0.008946984,0.04294009,0.01848259,0.009901576,0.003699413,0.02246807,0.01241018,0.009434915,0.004459643
CLARK,0.004502903,0.003804326,0.02002985,0.01598883,0.01266451,0.006153178,0.007303831,0.02057616,0.01353939,0.01792066
CLARK-S,0.004359918,0.007354973,0.0188777,0.01429922,0.01374215,0.005923468,0.008244237,0.02041761,0.01388806,0.01820401
Kraken,0.004765218,0.005008867,0.03317837,0.02329657,0.01321662,0.008083736,0.01797661,0.02165823,0.01682509,0.02263467
Kraken 2,0.004546287,0.004959272,0.0298803,0.02143023,0.01403203,0.007172363,0.009831459,0.02331778,0.01603265,0.02362248
BLAST-MEGAN,0.008029239,0.01661122,0.05216876,0.02988288,0.01970604,0.007787242,0.01816322,0.02519871,0.01958991,0.04192503
Diamond-MEGAN,0.004108915,0.003928153,0.02776292,0.02628886,0.009816611,0.002532045,0.005635865,0.02078865,0.01942932,0.004377647
Kaiju,0.005577799,0.009871255,0.03574479,0.0220975,0.005025249,0.008447187,0.009673843,0.007551053,0.01410708,0.03529101
