genus_identify,mock_01,mock_02,mock_03,mock_04,mock_05,mock_06,mock_07,mock_08,mock_09,mock_10
DeepMicrobes,0.2991453,0.3125,0.2966102,0.2966102,0.3017241,0.2991453,0.2941176,0.2941176,0.2941176,0.3017241
Centrifuge,0.02039627,0.01907969,0.01860974,0.01831502,0.01830283,0.01728521,0.01776103,0.02016129,0.01669121,0.01937984
CLARK,0.05381944,0.04579025,0.04558824,0.03753027,0.04258242,0.04366197,0.04732824,0.0488959,0.03964194,0.05467372
CLARK-S,0.1050847,0.07828283,0.09309309,0.06031128,0.08115183,0.06919643,0.09904153,0.1016393,0.0736342,0.1076389
Kraken,0.1074074,0.07611549,0.06954436,0.05430712,0.0726817,0.0725,0.06759907,0.09415584,0.07107843,0.09863946
Kraken 2,0.05095541,0.04301075,0.04249668,0.03501094,0.04035309,0.04010025,0.04383562,0.04747774,0.03907204,0.04819277
BLAST-MEGAN,0.2481752,0.1761658,0.1954023,0.1626794,0.2012195,0.2,0.2064516,0.22,0.177665,0.2446043
Diamond-MEGAN,0.1286765,0.1029412,0.09459459,0.09433962,0.1026393,0.1132686,0.1291513,0.1011561,0.09408602,0.1470588
Kaiju,0.03249768,0.03567788,0.02547307,0.02368065,0.02857143,0.04022989,0.04103165,0.03560529,0.02791069,0.03743316
