genus_identify,mock_01,mock_02,mock_03,mock_04,mock_05,mock_06,mock_07,mock_08,mock_09,mock_10
DeepMicrobes,1,0.9714286,1,1,1,0.9714286,0.9714286,0.9714286,1,1
Centrifuge,0.8,0.8,0.8571429,0.8571429,0.8571429,0.8285714,0.8285714,0.8,0.8571429,0.8285714
CLARK,0.8,0.8285714,0.8571429,0.8571429,0.8571429,0.8285714,0.8,0.8285714,0.8857143,0.7714286
CLARK-S,0.8285714,0.8285714,0.8285714,0.8571429,0.8571429,0.8285714,0.8,0.8285714,0.8571429,0.7714286
Kraken,0.7142857,0.7142857,0.7714286,0.8,0.7428571,0.7142857,0.7428571,0.7428571,0.7714286,0.6857143
Kraken 2,0.7428571,0.8,0.8285714,0.8571429,0.8571429,0.8571429,0.7714286,0.8285714,0.8857143,0.7428571
BLAST-MEGAN,0.7428571,0.7428571,0.7428571,0.7714286,0.7428571,0.7142857,0.7428571,0.7714286,0.7714286,0.7142857
Diamond-MEGAN,0.9142857,0.9428571,0.9142857,0.9142857,0.9428571,0.9428571,0.8857143,0.9428571,0.9142857,0.9142857
Kaiju,0.9714286,0.9428571,0.9142857,0.9714286,0.9428571,0.9428571,0.9142857,0.9428571,0.9428571,0.9428571
