Genus	Kraken	Kraken 2	CLARK	CLARK-S	Centrifuge	Kaiju	Diamond-MEGAN	BLAST-MEGAN	DeepMicrobes
Enterococcus	13.505834	13.976852	13.252178	12.904707	10.79568	8.190569	12.207	12.256514	11.163233
Tetragenococcus	0.009535	0.009622	0.012415	0.008526	0.033622	0.007657	0.000681	0.007645	0
Vagococcus	0.003322	0.009396	0.006079	0.000725	8e-05	0.000805	9.6e-05	0.001024	0
Melissococcus	0.000861	0.001453	0.001448	0.000342	0.008714	9.9e-05	0.000131	0.000619	0
Streptococcus	7.689463	7.823081	7.318334	7.005475	6.715695	5.820836	4.653053	7.650898	5.256793
Lactococcus	0.087461	0.052342	0.094892	0.070072	0.13342	0.013209	0.017149	0.03048	0
Lactobacillus	5.776647	6.676077	6.462855	6.302801	6.180336	6.76978	8.652073	6.32765	5.732231
Pediococcus	1.693047	1.661286	1.672135	1.583676	0.960327	1.643784	1.927763	1.810584	1.172865
Leuconostoc	0.592852	0.579169	0.603876	0.577435	0.87141	0.598917	0.736637	0.142015	0.421391
Weissella	0.039463	0.037117	0.042292	0.03364	0.051404	0.014353	0.010326	0.005432	0.007826
Oenococcus	0.000354	0.000452	0.000745	0.000164	0.004437	0.001837	0.000753	8e-06	0
Aerococcus	0.01378	0.009703	0.015541	0.011003	0.02055	0.001017	0.000359	0.003814	0
Carnobacterium	0.004491	0.01043	0.011698	0.007678	0.022588	0.011627	0.010863	0.006778	0
Marinilactibacillus	0.000784	0.002373	0.002351	0.001095	0	0.000212	0.000251	0	0
Jeotgalibaca	0.000492	0.001663	0.005376	0.003025	0	0.000127	1.2e-05	0.00014	0
Staphylococcus	13.429169	13.257771	12.706981	12.258624	11.092059	10.658258	10.240839	14.221803	11.135591
Macrococcus	0.000384	0.001292	0.001577	0.000356	0.001332	0.001625	0.000215	5e-05	0
Salinicoccus	7.7e-05	6.5e-05	0.000158	0.000123	0.000827	0.000537	0.000108	0	0
Auricoccucs	3.1e-05	0	0	0	0	0	0	0	0
Exiguobacterium	0.572613	0.508518	0.628018	0.818334	0.435986	1.16773	0.269885	0.640662	1.181237
Gemella	0.001215	0.001501	0.002939	0.000287	0.002086	0.000565	0.001052	0	0.002104
Bacillus	0.057164	0.076301	0.073273	0.080678	0.167668	0.08941	0.030869	0.043995	0.058779
Amphibacillus	0.000692	5e-04	0.001348	0.000958	0.002054	0.000664	1.2e-05	0.00038	0
Virgibacillus	0.000584	0.001808	0.002365	0.000588	0.001452	0.001328	0.00037	9.1e-05	0
Lysinibacillus	0.000584	0.007814	0.002652	0.000931	0.012606	0.001808	0.000932	0.000165	0
Geobacillus	0.000569	0.001566	0.001333	0.000205	0.006275	0.001879	0.000908	0.000107	0
Terribacillus	2e-04	0.000533	0.000387	5.5e-05	0.001003	0.000113	3.6e-05	1.7e-05	0
Lentibacillus	0.000169	0.000323	0.000416	2.7e-05	0.000907	0.00017	0	0	0
Fictibacillus	0.000169	0.000614	0.000745	0	0.002648	0.000777	0.000108	5.8e-05	0
Halobacillus	0.000154	0.000339	0.000745	0.000164	0.001196	0.000904	0.000108	8e-06	0
Aeribacillus	0.000108	0.000178	0.000315	6.8e-05	1.6e-05	4.2e-05	0	2.5e-05	0
Anoxybacillus	9.2e-05	0.001162	0.00119	0.000287	0.005416	0.00072	0.000538	7.4e-05	0
Parageobacillus	6.2e-05	0.000371	2.9e-05	0	0.002231	0.000184	0	0	0
Oceanobacillus	3.1e-05	0.001857	0.000645	0.000178	0.001685	0.00647	3.6e-05	9.9e-05	0
Listeria	0.010058	0.011431	0.01858	0.011647	0.091188	0.017631	0.01703	0.00639	0.008639
Brochothrix	0.005413	0.01156	0.005864	0.002546	8.8e-05	0.00017	0.001864	0.000322	0
Paenibacillus	0.00243	0.011479	0.009491	0.009539	0.041566	0.02396	0.006155	0.000388	0.001982
Brevibacillus	0.000261	0.001421	0.000989	0.000315	0.002809	0.001257	0.000131	1.7e-05	0
Aneurinibacillus	9.2e-05	0.000274	0.000358	0.000151	0.001621	0.000735	7.2e-05	1.7e-05	0
Thermobacillus	3.1e-05	6.5e-05	0.000143	0	0.000361	5.7e-05	1.2e-05	8e-06	0
Planococcus	0.000892	0.003374	0.023999	0.019023	0.02039	0.000353	0.000155	0.00019	0
Jeotgalibacillus	2e-04	0.000549	0.000502	0.000274	0.001701	0.00041	7.2e-05	7.4e-05	0
Sporosarcina	0.000169	0.001873	0.001907	0.00052	0.001549	0.000819	0.000167	4.1e-05	0
Solibacillus	7.7e-05	0.004957	0.000516	6.8e-05	0.00337	5.7e-05	0	3.3e-05	0
Rummeliibacillus	3.1e-05	0.000129	0.000358	6.8e-05	0.001356	4.2e-05	0	0	0
Alicyclobacillus	7.7e-05	0.000161	0.000158	1.4e-05	0.000514	0.00041	3.6e-05	0	0
Tumebacillus	1.5e-05	0.000129	0.000287	4.1e-05	0	8.5e-05	1.2e-05	2.5e-05	0
Clostridium	8.349921	8.357237	8.252147	8.802117	7.341617	12.601424	13.736897	8.821348	9.757969
Alkaliphilus	0.001569	0.001614	0.002308	0.000999	0.005649	0.001144	0.000179	0.000223	0
Candidatus Arthromitus	0.000554	0.001534	0.001821	0.000465	0.009011	0.000438	3.6e-05	0.000438	0
Geosporobacter	0.000446	0.000904	0.001491	0.00037	0.003025	0.002147	6e-05	9.1e-05	0
Ruminococcus	0.721083	0.657746	0.730408	0.714814	1.169128	2.795014	2.58029	2.018902	1.927702
Ruminiclostridium	0.002737	0.00071	0.010781	0.007869	0.0028	0.006993	0.004828	0.025758	0
Mageeibacillus	0.001276	0.001179	0.001907	0.001916	0.001525	5.7e-05	0	0	0
Ethanoligenens	0.000246	0.000436	0.001835	0.000561	0.00122	9.9e-05	0	1.7e-05	0
Blautia	0.077265	0.070925	0.169499	0.206424	0.486844	1.710252	1.56349	0.47478	2.841997
Roseburia	0.072544	0.035018	0.088699	0.081499	0.262058	0.519566	0.515331	0.172636	0.443845
Anaerostipes	0.05089	0.024896	0.058636	0.055264	0.04565	0.005298	0.004541	0.020152	2e-04
Lachnoclostridium	0.04663	0.032435	0.090749	0.084319	0.053458	0.017263	0.011676	0.006695	0.003228
Butyrivibrio	0.006905	0.00804	0.017705	0.013576	0.018103	0.008547	0.003681	0.003839	0.021207
Cellulosilyticum	0.001876	0.002551	0.005491	0.002217	0.007727	0.002331	7.2e-05	0.000826	0
Herbinix	0.001123	0.000856	0.003986	0.002108	0.005224	0.000692	0	0	0
Anaerotignum	0.000692	0.001227	0.002982	0.001191	0.002576	0	0	0	0.000189
Eubacterium	0.187487	0.132244	0.290426	0.293124	0.05548	2.154309	1.808112	0.147836	1.838888
Acetobacterium	6.2e-05	0.000549	0.000158	0.000301	0.001597	0.001342	0.000143	1.7e-05	0
Clostridioides	0.089138	0.051099	0.090047	0.087398	0.140265	0.027986	0	0	0
Filifactor	0.0014	0.001162	0.001892	0.001218	0.003001	8.5e-05	0	8.3e-05	0
Acetoanaerobium	0.000784	0.000904	0.001792	0.00052	0.004799	0.00048	0.00037	0	0
Peptoclostridium	0.000584	0.001308	0.001147	0.00037	0.001918	0.001017	0.102024	0.335092	0
Intestinimonas	0.007659	0.005376	0.011469	0.014521	0.008562	0.00178	0.00331	0.007793	0
Flavonifractor	0.003676	0.002955	0.011039	0.011811	0.006251	0.02598	0.003263	0.004343	0
Mogibacterium	0.000277	0.001146	0.000717	0.000684	0	0.00041	0.000203	0.000372	0
Thermaerobacter	3.1e-05	4.8e-05	0.000172	1.4e-05	0.000257	4.2e-05	0	0	0
Desulfosporosinus	0.000508	0.000807	0.000946	0.000671	0.003723	0.003164	0.000562	4.1e-05	0
Syntrophobotulus	0.000308	0.000145	0.000516	0.000109	0.000867	2.8e-05	3.6e-05	0	0
Desulfotomaculum	0.000123	0.001728	0.00076	0.00026	0.001822	0.002359	0.000968	0.000132	0
Desulfitobacterium	4.6e-05	0.001049	0.002165	0.00141	0.006628	0.001384	0.000621	0.000223	0
Dehalobacter	4.6e-05	0.000129	0.00033	0.000246	0.001822	0.000593	2.4e-05	8e-06	0
Christensenella	0.001092	0.001937	0.001835	0.001437	0	0.000438	0.00049	0	0
Oscillibacter	0.000338	0.002341	0.001176	0.000876	0.001292	0.001526	0.000502	0.000149	0.019715
Symbiobacterium	7.7e-05	8.1e-05	8.6e-05	4.1e-05	0.000602	0.00017	0	8e-06	0
Heliobacterium	1.5e-05	0.00071	0.000631	5.5e-05	0.000417	0.005651	0.001004	0	0
Caldicellulosiruptor	0.000692	0.001356	0.002308	0.001136	0.009886	0.000127	1.2e-05	0.000116	0
Thermoanaerobacterium	0.000446	0.001066	0.001534	0.000547	0.006732	0.000268	0.000502	6.6e-05	0
Thermoanaerobacter	0.000215	0.001711	0.001548	0.000643	0.010512	0.000692	0.000155	0.000132	0
Moorella	0.000123	0.000468	0.000215	8.2e-05	0.001059	0.000212	0.000179	1.7e-05	0
Tepidanaerobacter	9.2e-05	0.000161	0.000244	0.000192	0.002351	0.000396	0.000191	8e-06	0
Carboxydothermus	1.5e-05	0.000178	5.7e-05	4.1e-05	0.000562	0.00048	7.2e-05	0	0
Thermacetogenium	1.5e-05	4.8e-05	0.000129	4.1e-05	0.000265	0	0	0	0
Caldanaerobacter	1.5e-05	6.5e-05	0.000158	6.8e-05	0.001123	0.000184	0.000299	2.5e-05	0
Halobacteroides	0.000323	0.000291	0.000817	0.000205	0.001709	0.000212	0	5e-05	0
Acetohalobium	9.2e-05	1.6e-05	0.000244	0.000123	0.000963	5.7e-05	0	1.7e-05	0
Halanaerobium	2e-04	0.00092	0.000817	0.000178	0.003458	0.000184	4.8e-05	0.00014	0
Halothermothrix	0.000123	6.5e-05	0.000158	2.7e-05	0.000778	5.7e-05	0	2.5e-05	0
Natranaerobius	3.1e-05	0.000791	0.000401	0	0.001107	9.9e-05	0	0	0
Faecalitalea	0.033327	0.028076	0	0	0.01832	0.00024	0.000538	0.007166	0
Turicibacter	0.00326	0.002793	0.003111	0.001875	0.005545	0.002882	0.00153	0	0
Erysipelothrix	0.000431	0.00113	0.000946	0.000246	0.00593	0.000325	2.4e-05	8.3e-05	0
Faecalibaculum	0.000138	0.000856	0.001032	0.001328	0.000963	7.1e-05	0	0	0
Anaerococcus	0.011058	0.009606	0.012759	0.010182	0.005224	0.004563	0.001315	0.001288	0.023356
Finegoldia	0.002876	0.003148	0.004014	0.001314	0.005312	0.001356	0.00043	0.000603	0.018023
Parvimonas	0.001092	0.002567	0.002509	0.000424	0.00252	0.00397	0.000191	0.000157	0
Peptoniphilus	8e-04	0.00042	0.001247	0.000643	0.002102	0.250501	0.01023	1.7e-05	0.310591
Murdochiella	0.000231	0.00042	0.000803	0.000807	0	0.000113	0	0	0
Gottschalkia	0.001215	0.002131	0.003641	0.00115	0.005593	0.001441	0.00037	0.000718	0
Ezakiella	0.001307	0.001211	0.002523	0.001423	0	0.000268	3.6e-05	0	0
Selenomonas	0.000938	0.000953	0.001348	0.001122	0.003988	0.002077	0.000418	9.1e-05	0.001225
Megamonas	2e-04	0.000646	0.001004	0.000356	0.00337	0.000904	0.000347	9.9e-05	0.002471
Pelosinus	0.000769	0.00071	0.001219	0.000397	0.004092	0.000367	2.4e-05	8.3e-05	0.001024
Megasphaera	0.000508	0.004133	0.005878	0.005201	0.002175	0.000551	0.000633	0.000264	0.007592
Dialister	0.000138	0.000194	0.001563	0.000794	0.000602	0.000353	0.000167	0	0.009295
Veillonella	7.7e-05	0.000468	0.000989	0.000411	0.001131	0.003885	0.00147	4.1e-05	0.009919
Acidaminococcus	0.000154	0.000178	0.001319	0.000328	0.002271	0.001356	6e-05	2.5e-05	0.000735
Ndongobacter	0.000631	0.000597	0.000961	0.001095	0	0.000113	0	0	0
Bifidobacterium	11.52998	11.450712	11.129079	10.762811	10.723975	10.277053	12.249222	12.371203	7.941546
Parascardovia	0.0012	0.001485	0.001333	0.000944	0.001902	0.000155	7.2e-05	0.000107	0
Gardnerella	6.2e-05	5e-04	8.6e-05	2.7e-05	0.00122	0.00243	0.077991	8e-06	0
Scardovia	3.1e-05	0.000404	1e-04	6.8e-05	0.000401	4.2e-05	7.2e-05	2.5e-05	0
Corynebacterium	0.039724	0.044818	0.071753	0.163943	0.096396	0.644717	0.280641	0.04501	0.563305
Mycobacterium	0.001015	0.001824	0.001276	0.000561	0.010063	0.018337	0.008987	0.000223	0
Rhodococcus	0.000369	0.001162	0.001376	0.000356	0.006845	0.001271	0.000442	0.00014	0
Nocardia	0.000123	0.001082	0.000559	0.000137	0.002295	0.00113	4.8e-05	2.5e-05	0
Dietzia	0.000138	0.000791	0.000258	4.1e-05	0.000441	4.2e-05	3.6e-05	8e-06	0
Gordonia	3.1e-05	0.000355	0.000416	0.000219	0.001493	0.000297	7.2e-05	1.7e-05	0
Tsukamurella	1.5e-05	0.000258	7.2e-05	0	0.000265	0.000226	0	0	0
Actinomyces	0.01358	0.013562	0.02344	0.02796	0.022171	0.042904	0.012847	0.020078	0.04208
Mobiluncus	0.000154	3.2e-05	0.000129	0	0.000473	8.5e-05	0	0	0
Arcanobacterium	1.5e-05	0.000129	7.2e-05	1.4e-05	0.000666	0.000141	1.2e-05	8e-06	0
Rothia	0.000384	0.00042	0.000817	0.000424	0.001236	0.000452	0.003334	0.000314	2e-04
Micrococcus	0.000138	0.000178	0.000158	0.000137	0.00077	0.00017	8.4e-05	0.000157	0
Kocuria	0.000138	1.6e-05	0.000158	0	0.001284	0.00024	0	2.5e-05	0
Arthrobacter	0.000108	0.001437	0.000702	0.000246	0.004349	0.000862	0.000167	5e-05	0
Glutamicibacter	9.2e-05	0.000178	0.000129	4.1e-05	0.000465	2.8e-05	0	0	0
Pseudarthrobacter	4.6e-05	0.000371	0.000158	0	0.001396	7.1e-05	0	0	0
Neomicrococcus	3.1e-05	9.7e-05	7.2e-05	1.4e-05	0	2.8e-05	0	0	0
Dermabacter	0.000231	0.000113	0.000258	0	0.00065	0.000184	0	0	0
Brachybacterium	0.000215	0.00042	0.000287	9.6e-05	0.000329	0.000932	0.000131	0	0
Devriesea	4.6e-05	4.8e-05	0.000115	2.7e-05	0.000193	0	0	0	0
Microbacterium	7.7e-05	0.000791	0.000444	9.6e-05	0.002142	0.001865	0.000562	8e-06	0
Clavibacter	6.2e-05	0.000113	1.4e-05	1.4e-05	0.000859	2.8e-05	0	0	0
Curtobacterium	6.2e-05	5e-04	0.000115	0	0.000506	0.000551	0	8e-06	0
Microcella	6.2e-05	6.5e-05	2.9e-05	1.4e-05	0.000169	9.9e-05	0	0	0
Leifsonia	4.6e-05	0.000339	2.9e-05	0	0.001741	0.000155	0	8e-06	0
Cryobacterium	3.1e-05	0.000371	8.6e-05	0	0.000369	0.000141	0	0	0
Agrococcus	1.5e-05	8.1e-05	0	0	0.000417	0.000141	0	8e-06	0
Brevibacterium	0.000215	0.000452	1e-04	0	0.000995	0.000353	0	0	0.000356
Cellulomonas	1.5e-05	0.000242	4.3e-05	0	0.000562	0.00017	0	8e-06	0.000679
Paraoerskovia	1.5e-05	0	0	0	0.000104	0	0	0	0
Cellulosimicrobium	1.5e-05	0.000129	5.7e-05	1.4e-05	0	2.8e-05	0	0	0
Xylanimonas	1.5e-05	0	4.3e-05	1.4e-05	0.000225	8.5e-05	0	0	0
Intrasporangium	1.5e-05	0.000129	8.6e-05	1.4e-05	0.000193	0.000212	0	0	0
Arsenicicoccus	1.5e-05	0.000291	5.7e-05	0	0.000209	0	0	0	0
Dermacoccus	1.5e-05	1.6e-05	8.6e-05	0	0.000225	0	0	0	0
Kytococcus	1.5e-05	4.8e-05	4.3e-05	0	0.000257	4.2e-05	0	0	0
Cutibacterium	0.000261	0.000452	0.000631	0.000274	0.001476	0.000254	0	0	0
Propionibacterium	0.000169	0.000194	0.000272	0.000137	0.001107	0.000565	0.006394	0.000553	0.001258
Auraticoccus	7.7e-05	0	0	0	0.000144	1.4e-05	0	0	0
Acidipropionibacterium	3.1e-05	0.00021	0.000158	2.7e-05	0.00134	1.4e-05	0	0	0
Pseudopropionibacterium	3.1e-05	3.2e-05	8.6e-05	5.5e-05	0.000257	0	0	0	0
Tessaracoccus	1.5e-05	0.000178	0.00043	0	0	8.5e-05	3.6e-05	0	0
Propionimicrobium	1.5e-05	1.6e-05	1.4e-05	9.6e-05	0	0	2.4e-05	0	0.000356
Marmoricola	4.6e-05	1.6e-05	0	0	0.000265	0.000141	0	0	0
Aeromicrobium	1.5e-05	0.000258	4.3e-05	1.4e-05	0.000249	4.2e-05	0	8e-06	0
Pimelobacter	1.5e-05	4.8e-05	0.000143	0	0.000337	0	0	0	0
Actinopolymorpha	1.5e-05	0.000145	0	0	0.000209	0.000127	2.4e-05	0	0
Micromonospora	0.000215	0.001857	1e-04	0	0.004341	0.000763	0	4.1e-05	0
Salinispora	0.000138	8.1e-05	7.2e-05	0	0.000489	5.7e-05	1.2e-05	0	0
Actinoplanes	1.5e-05	0.000565	8.6e-05	2.7e-05	0.001878	0.000494	0	0	0
Streptomyces	0.000415	0.007346	0.001921	0.025401	0.018713	0.022123	0.003896	3.3e-05	0.001436
Kitasatospora	1.5e-05	3.2e-05	4.3e-05	2.7e-05	0.000481	0.000113	0	0	0
Amycolatopsis	0.000108	0.000969	0.000287	0.000109	0.003242	0.000678	1.2e-05	8e-06	0
Pseudonocardia	7.7e-05	0.000161	0.000215	2.7e-05	0.001669	0.000339	0	0	0
Saccharomonospora	7.7e-05	0.000597	1e-04	0	0.000273	2.8e-05	0	0	0
Saccharopolyspora	1.5e-05	6.5e-05	5.7e-05	0	0.000425	0.000636	7.2e-05	0	0
Actinosynnema	1.5e-05	8.1e-05	0	0	0.000329	1.4e-05	0	8e-06	0
Frankia	2e-04	0.000953	0.000272	1.4e-05	0.001557	0.001342	1.2e-05	0	0
Nocardiopsis	6.2e-05	0.00021	0.000272	2.7e-05	0.000546	0.000494	1.2e-05	0	0
Streptosporangium	3.1e-05	0.000129	1e-04	1.4e-05	0.000353	4.2e-05	1.2e-05	0	0
Jiangella	7.7e-05	0.000307	0	0	0.000674	1.4e-05	0	0	0
Candidatus Nanopelagicus	7.7e-05	4.8e-05	0.000172	1.4e-05	0	0	0	0	0
Geodermatophilus	3.1e-05	3.2e-05	2.9e-05	0	0.000361	0.001201	0	0	0
Blastococcus	1.5e-05	8.1e-05	1.4e-05	0	0.000241	0.000155	0	0	0.000278
Actinopolyspora	3.1e-05	0	0.000129	0	0	0.000283	0	0	0
Nakamurella	3.1e-05	0.000258	4.3e-05	1.4e-05	0.000506	7.1e-05	0	0	0
Kineococcus	1.5e-05	0.000129	7.2e-05	0	0.000177	2.8e-05	0.000191	1.7e-05	0
Olsenella	0.004383	0.002147	0.001591	0.000944	0.00853	0.00137	0.000143	0.000537	0.002382
Libanicoccus	0.004091	0.000856	0	0	0	5.7e-05	0	0	0
Atopobium	4.6e-05	0.000129	0.000287	9.6e-05	0.001147	0.000198	6e-05	0	0.000345
Coriobacterium	0.00223	0.000242	0.000272	9.6e-05	0.003394	4.2e-05	1.2e-05	5e-05	0
Gordonibacter	0.006029	0.003697	0.00496	0.00464	0.00581	0.00493	0.000466	0.002477	0
Eggerthella	0.001722	0.001275	0.00271	0.002901	0.004638	0.005284	0.00392	0.001734	0.00688
Phoenicibacter	0.000584	0.000517	0.001247	0.000602	0	0.000678	0	0	0
Adlercreutzia	0.000477	0.000274	0.000545	0.000151	0.001805	0.000127	0	0.000149	3.3e-05
Slackia	0.000354	0.000404	0.001061	0.000739	0.002913	0.000353	8.4e-05	0.000322	0.00383
Denitrobacterium	0.000292	0.000145	0.000244	8.2e-05	0.000955	5.7e-05	1.2e-05	5.8e-05	0
Ilumatobacter	0.000138	0	0	0	0.000225	1.4e-05	0	0	0
Rubrobacter	0.000138	4.8e-05	2.9e-05	1.4e-05	0.000409	0.000113	0	0	0
Candidatus Phytoplasma	0.000969	0.000484	0.000301	6.8e-05	0.002142	0.000692	0.000215	0	0
Acholeplasma	0.000369	0.000856	0.002064	0.000958	0.004373	0.000975	0.000131	0.000124	0
Mycoplasma	0.000738	0.002793	0.002939	0.004338	0.020976	0.002232	9.6e-05	9.1e-05	0
Ureaplasma	4.6e-05	0.000129	0.000129	0	0.001765	0.000155	0.000538	0	0
Spiroplasma	0.000569	0.002309	0.002365	0.001711	0.009284	0.000339	0	0.000107	0
Mesoplasma	0.000108	0.000533	0.000645	0.000123	0.001019	2.8e-05	0	1.7e-05	0
Candidatus Izimaplasma	9.2e-05	0.000113	0.000344	4.1e-05	0.001204	0.00017	0	0	0
Cyanothece	0.000508	0.000307	0.000172	9.6e-05	0.003723	0.000452	0	0	0
Oscillatoria	6.2e-05	0.000178	1e-04	2.7e-05	0.000971	0.000155	0	0	0
Planktothrix	3.1e-05	1.6e-05	0	0	3.2e-05	0.000113	0	0	0
Trichodesmium	1.5e-05	0.000129	0.000115	4.1e-05	0.000827	0.000184	0	0	0
Geminocystis	3.1e-05	0.000823	0.00043	0	0.001934	0.00017	0	0	0
Halothece	1.5e-05	4.8e-05	0	0	0.000313	0	0	0	0
Calothrix	0.000292	0.001146	0.000373	0.000219	0.001749	0.000127	0	0	0
Microchaete	7.7e-05	1.6e-05	0	0	0	0	0	0	0
Nostoc	4.6e-05	0.001453	0.000573	0.000178	0.004309	0.000141	0	0	0
Anabaena	1.5e-05	0.000242	1e-04	1.4e-05	0.001789	0.000155	0	0	0
Dolichospermum	1.5e-05	0	0	0	2.4e-05	0	0	0	0
Synechococcus	0.000123	0.001437	0.000516	0.000109	0.003836	0.000636	0	8e-06	0
Cyanobium	3.1e-05	3.2e-05	8.6e-05	0	0.000265	4.2e-05	0	8e-06	0
Prochlorococcus	6.2e-05	0.000888	0.000989	0.000137	0.005906	0.000777	0.000227	5.8e-05	0
Halomicronema	6.2e-05	0	4.3e-05	0	0	4.2e-05	0	0	0
Stanieria	6.2e-05	0.000113	0.000344	4.1e-05	0.001436	1.4e-05	0	0	0
Pleurocapsa	4.6e-05	0.000307	5.7e-05	1.4e-05	0.000554	0	0	0	0
Gloeobacter	1.5e-05	8.1e-05	0.000129	0	0.000361	4.2e-05	0	8e-06	0
Deinococcus	0.000138	0.000823	0.000645	0.000178	0.002038	0.000565	1.2e-05	2.5e-05	0
Thermus	7.7e-05	0.000194	0.000258	5.5e-05	0.000995	5.7e-05	0	2.5e-05	0
Oceanithermus	3.1e-05	0	0.000115	0	0.000265	4.2e-05	0.000131	0	0
Sphaerobacter	3.1e-05	1.6e-05	2.9e-05	0	0.000289	1.4e-05	0	0	0
Dehalogenimonas	3.1e-05	1.6e-05	0.000143	2.7e-05	0.000217	2.8e-05	0	0	0
Candidatus Promineofilum	1.5e-05	6.5e-05	0.00033	4.1e-05	0	0	0	0	0
Klebsiella	17.93279	16.496824	17.064142	16.415218	21.788085	4.152061	13.060396	14.56795	12.532672
Enterobacter	0.419313	0.392339	0.436728	0.419856	0.772911	0.070155	0.346622	0.099152	0.336752
Citrobacter	0.137167	0.150713	0.126633	0.11956	0.186469	0.020781	0.024404	0.089657	0.104844
Escherichia	0.067791	0.094384	0.076513	0.087877	0.146524	0.045743	0.187604	0.007026	0
Salmonella	0.027406	0.047369	0.034909	0.026893	0.048989	0.023776	0.151907	0.009593	0
Raoultella	0.008443	0.028286	0.008587	0.003736	0.037458	0.004733	0.010923	0.007108	0
Shimwellia	0.002168	0.003536	0.003412	0.00104	0.008634	0.000254	0.000394	0.000338	0
Cronobacter	0.001261	0.009493	0.002365	0.000534	0.026063	0.002896	0.012441	0.00019	0
Cedecea	0.000969	0.004198	0.00109	0.000151	0.003972	0.000212	0.00147	9.1e-05	0
Kluyvera	0.000846	0.000791	0	0	0.006147	0.001314	0.001542	0.000215	0
Lelliottia	0.00083	0.00754	0.001548	0.000588	0.00126	0.000141	0.00043	7.4e-05	0
Kosakonia	8e-04	0.007976	0.000903	0.000123	0.003138	0.000805	0.000717	0.000182	0
Pluralibacter	0.000477	0.015451	0.007183	0.005639	0.184279	0.000339	0.002342	0.001354	0
Leclercia	0.000431	0.002729	0.001276	0.000534	0.003001	0.00048	0.000598	0.000231	0
Candidatus Blochmannia	0.000138	0.001954	0.000272	2.7e-05	0.001147	2.8e-05	0	0	0
Gibbsiella	0.000108	0.000436	0.000258	0.000452	0	0	0	0.000149	0
Candidatus Riesia	3.1e-05	6.5e-05	1.4e-05	0	0.000257	0	0	0	0
Serratia	0.003291	0.010365	0.007928	0.003723	0.020446	0.005849	0.009214	0.001082	0
Yersinia	0.000584	0.008444	0.001706	0.000465	0.048932	0.003814	0.009955	0.000446	0
Rahnella	0.000246	0.001049	4.3e-05	0	0.002367	2.8e-05	7.2e-05	0	0
Dickeya	0.002722	0.00649	0.001147	0.000274	0.002151	0.00267	0.003203	8.3e-05	0
Pectobacterium	6e-04	0.002696	0.00109	0.000739	0.005312	0.00048	0.000311	0.000669	0
Brenneria	0.000323	0.000807	0.000301	0	3.2e-05	0.000141	0.000418	0	0
Sodalis	3.1e-05	0.000888	0.000143	0.000109	0.001075	2.8e-05	7.2e-05	8e-06	0
Pantoea	0.001338	0.005683	0.005161	0.010853	0.035957	0.010256	0.009776	0.001618	0.013927
Erwinia	0.000646	0.00381	0.001706	0.000588	0.005087	0.001187	0.002354	0.000363	0
Buchnera	0.000123	0.002131	0.000459	0.000274	0.003787	0.000636	0	6.6e-05	0
Tatumella	4.6e-05	0.000614	0.000287	0.000123	8e-06	5.7e-05	0.000203	0	0
Morganella	0.00103	0.000872	0.000545	9.6e-05	0.005031	0.000367	0.000215	8e-06	0.000779
Proteus	0.000492	5e-04	0.000961	0.000506	0.011058	0.001271	0.00092	0.000396	0.010331
Providencia	0.000292	0.003891	0.000459	6.8e-05	0.004237	0.001724	0.000896	8e-06	0.008138
Xenorhabdus	4.6e-05	0.000888	0.000702	2.7e-05	0.00345	0.00113	0.003024	8e-06	0
Edwardsiella	0.000492	0.002147	0.001018	0.001245	0.005745	0.000311	0.002892	3.3e-05	0.00128
Hafnia	0.000354	0.000856	0.000717	0.000411	0.006355	0.000212	0.000633	2.5e-05	0
Plesiomonas	0.000185	0.000517	0.000186	0	0.000177	0.000198	1.2e-05	0	0
Acinetobacter	0.03854	0.043349	0.026637	0.033257	0.02368	0.033227	0.015644	0.037621	0.039252
Psychrobacter	0.000261	0.001582	0.001434	0.00026	0.002961	0.000805	3.6e-05	0	0
Moraxella	7.7e-05	0.000194	0.000588	1.4e-05	0.002849	0.000339	2.4e-05	0	0
Pseudomonas	0.007013	0.022248	0.019928	0.031655	0.094655	0.011457	0.009608	0.007026	0.005444
Oblitimonas	0.000138	6.5e-05	0.000129	0	0.002183	0.00024	0	0	0
Azotobacter	1.5e-05	0.000242	0.000229	1.4e-05	0.0013	0.001074	2.4e-05	0	0
Shewanella	0.000631	0.002276	0.001835	0.000807	0.008706	0.000777	7.2e-05	0	0
Idiomarina	0.000277	0.000258	1e-04	9.6e-05	0.000417	0.000113	9.6e-05	0	0
Agarivorans	7.7e-05	1.6e-05	8.6e-05	1.4e-05	0.000305	8.5e-05	0	0	0
Alteromonas	6.2e-05	0.000856	0.000875	0.000233	0.006965	0.000678	0.000191	0	0
Marinobacter	6.2e-05	0.001356	0.000444	1.4e-05	0.002383	0.000593	2.4e-05	3.3e-05	0
Glaciecola	1.5e-05	4.8e-05	0.00033	0	0.000762	8.5e-05	0.000155	0	0
Pseudoalteromonas	0.000215	0.002325	0.001305	0.00052	0.00471	0.001837	4.8e-05	0	0
Colwellia	0.000108	0.000436	0.000932	0.000397	0.002391	0.000268	0	0	0
Thalassotalea	1.5e-05	1.6e-05	0.000172	0	0.000602	7.1e-05	0	0	0
Psychromonas	9.2e-05	0.000194	0.000244	4.1e-05	0.001083	0.000141	4.8e-05	0	0
