"Supplementary Table S12. Read-level sensitivity of the best model (Embed + LSTM + Attention) on fixed-length reads simulated based on error profiles of different sequencing platforms using 3,269 MAGs excluded from training",,,,,
MAG_ID_ENA,75bp (GenomeAnalyzer II),100bp (HiSeq 2000),125bp (HiSeq 2500),150bp (HiSeq 2500),250bp (MiSeq v3)
MAG-GUT11332,0.031,0.399,0.776,0.836,0.839
MAG-GUT1133,0.030,0.284,0.593,0.702,0.777
MAG-GUT1135,0.029,0.289,0.593,0.698,0.770
MAG-GUT11376,0.037,0.303,0.576,0.658,0.655
MAG-GUT11399,0.018,0.195,0.422,0.540,0.643
MAG-GUT1139,0.030,0.287,0.596,0.702,0.770
MAG-GUT11406,0.034,0.366,0.730,0.816,0.827
MAG-GUT11412,0.011,0.236,0.551,0.628,0.721
MAG-GUT11417,0.054,0.294,0.529,0.596,0.596
MAG-GUT11423,0.012,0.236,0.543,0.634,0.710
MAG-GUT11426,0.012,0.149,0.394,0.526,0.615
MAG-GUT11435,0.034,0.392,0.764,0.829,0.819
MAG-GUT1143,0.030,0.299,0.618,0.720,0.797
MAG-GUT11449,0.027,0.257,0.532,0.621,0.670
MAG-GUT11468,0.043,0.290,0.531,0.611,0.607
MAG-GUT1148,0.033,0.288,0.593,0.702,0.769
MAG-GUT1149,0.033,0.289,0.588,0.701,0.775
MAG-GUT11521,0.035,0.381,0.767,0.854,0.871
MAG-GUT11526,0.021,0.172,0.321,0.365,0.401
MAG-GUT11531,0.017,0.193,0.419,0.519,0.618
MAG-GUT11535,0.078,0.510,0.809,0.858,0.814
MAG-GUT11540,0.018,0.216,0.489,0.604,0.710
MAG-GUT11566,0.021,0.213,0.467,0.580,0.657
MAG-GUT1157,0.030,0.290,0.602,0.714,0.781
MAG-GUT11596,0.051,0.431,0.774,0.843,0.826
MAG-GUT1160,0.019,0.220,0.505,0.610,0.653
MAG-GUT11638,0.035,0.408,0.784,0.863,0.872
MAG-GUT11640,0.046,0.276,0.519,0.593,0.588
MAG-GUT11644,0.035,0.379,0.752,0.839,0.855
MAG-GUT11693,0.017,0.217,0.517,0.641,0.734
MAG-GUT1169,0.023,0.248,0.564,0.673,0.703
MAG-GUT1171,0.022,0.255,0.575,0.677,0.703
MAG-GUT11729,0.041,0.269,0.514,0.592,0.590
MAG-GUT1173,0.023,0.254,0.561,0.670,0.697
MAG-GUT11741,0.016,0.146,0.283,0.331,0.360
MAG-GUT11752,0.025,0.235,0.522,0.629,0.684
MAG-GUT11760,0.090,0.554,0.845,0.891,0.885
MAG-GUT1177,0.020,0.261,0.572,0.688,0.720
MAG-GUT11820,0.031,0.281,0.577,0.675,0.727
MAG-GUT11829,0.038,0.365,0.737,0.830,0.842
MAG-GUT11837,0.016,0.193,0.460,0.563,0.592
MAG-GUT11847,0.033,0.390,0.774,0.859,0.865
MAG-GUT1184,0.022,0.266,0.615,0.736,0.773
MAG-GUT11911,0.004,0.111,0.349,0.458,0.512
MAG-GUT11931,0.078,0.526,0.849,0.887,0.848
MAG-GUT11934,0.044,0.346,0.598,0.639,0.570
