"Supplementary Table S12. Read-level sensitivity of the best model (Embed + LSTM + Attention) on fixed-length reads simulated based on error profiles of different sequencing platforms using 3,269 MAGs excluded from training",,,,,
MAG_ID_ENA,75bp (GenomeAnalyzer II),100bp (HiSeq 2000),125bp (HiSeq 2500),150bp (HiSeq 2500),250bp (MiSeq v3)
MAG-GUT1788,0.019,0.224,0.489,0.589,0.599
MAG-GUT1792,0.091,0.569,0.856,0.885,0.852
MAG-GUT1796,0.018,0.180,0.400,0.506,0.595
MAG-GUT18024,0.014,0.246,0.564,0.666,0.740
MAG-GUT18031,0.024,0.276,0.565,0.606,0.523
MAG-GUT18037,0.026,0.213,0.415,0.504,0.534
MAG-GUT1806,0.017,0.180,0.404,0.505,0.592
MAG-GUT18125,0.020,0.199,0.433,0.546,0.611
MAG-GUT18181,0.015,0.159,0.370,0.475,0.595
MAG-GUT18195,0.031,0.334,0.620,0.669,0.541
MAG-GUT18210,0.031,0.376,0.707,0.759,0.604
MAG-GUT18233,0.109,0.552,0.821,0.866,0.858
MAG-GUT1826,0.016,0.266,0.584,0.679,0.709
MAG-GUT18296,0.019,0.235,0.540,0.634,0.620
MAG-GUT18312,0.032,0.339,0.659,0.709,0.564
MAG-GUT18333,0.023,0.233,0.521,0.629,0.611
MAG-GUT18340,0.015,0.212,0.522,0.623,0.602
MAG-GUT18361,0.030,0.323,0.614,0.665,0.527
MAG-GUT18366,0.015,0.148,0.360,0.439,0.498
MAG-GUT1840,0.007,0.120,0.334,0.442,0.627
MAG-GUT18425,0.041,0.324,0.593,0.686,0.682
MAG-GUT18429,0.063,0.423,0.711,0.764,0.763
MAG-GUT18447,0.055,0.284,0.529,0.609,0.591
MAG-GUT18523,0.021,0.239,0.566,0.678,0.731
MAG-GUT18526,0.007,0.197,0.566,0.711,0.774
MAG-GUT18564,0.017,0.165,0.384,0.469,0.565
MAG-GUT18577,0.018,0.211,0.457,0.573,0.626
MAG-GUT1861,0.015,0.158,0.370,0.447,0.432
MAG-GUT18620,0.040,0.292,0.575,0.657,0.644
MAG-GUT18629,0.020,0.195,0.439,0.538,0.552
MAG-GUT1870,0.020,0.162,0.366,0.476,0.613
MAG-GUT1871,0.020,0.243,0.536,0.659,0.691
MAG-GUT1873,0.020,0.163,0.364,0.490,0.608
MAG-GUT1875,0.018,0.227,0.513,0.621,0.653
MAG-GUT1876,0.020,0.233,0.525,0.625,0.661
MAG-GUT1877,0.019,0.156,0.348,0.455,0.604
MAG-GUT18785,0.077,0.387,0.636,0.704,0.709
MAG-GUT1880,0.022,0.224,0.511,0.623,0.653
MAG-GUT18812,0.060,0.411,0.696,0.769,0.699
MAG-GUT18819,0.013,0.199,0.508,0.589,0.410
MAG-GUT1881,0.021,0.160,0.368,0.472,0.605
MAG-GUT18824,0.012,0.143,0.347,0.455,0.569
MAG-GUT1882,0.020,0.257,0.616,0.729,0.770
MAG-GUT1883,0.019,0.167,0.366,0.475,0.605
MAG-GUT1885,0.018,0.220,0.515,0.620,0.644
MAG-GUT1887,0.020,0.228,0.513,0.628,0.648
MAG-GUT18888,0.010,0.133,0.346,0.466,0.520
MAG-GUT1888,0.020,0.227,0.515,0.617,0.657
MAG-GUT18897,0.101,0.511,0.774,0.831,0.817
MAG-GUT18907,0.015,0.179,0.407,0.489,0.517
MAG-GUT1892,0.018,0.223,0.509,0.627,0.649
MAG-GUT18932,0.043,0.333,0.603,0.691,0.680
MAG-GUT1894,0.019,0.245,0.600,0.709,0.752
MAG-GUT1895,0.020,0.221,0.505,0.616,0.654
MAG-GUT18970,0.101,0.546,0.820,0.860,0.846
MAG-GUT18974,0.031,0.329,0.623,0.678,0.531
MAG-GUT1898,0.015,0.230,0.522,0.634,0.661
MAG-GUT1900,0.021,0.233,0.531,0.642,0.684
MAG-GUT1904,0.020,0.233,0.527,0.642,0.673
MAG-GUT19064,0.024,0.236,0.473,0.543,0.539
MAG-GUT19065,0.019,0.182,0.415,0.502,0.522
MAG-GUT1906,0.019,0.224,0.506,0.625,0.651
MAG-GUT19089,0.052,0.431,0.762,0.830,0.818
MAG-GUT1908,0.023,0.223,0.513,0.622,0.655
MAG-GUT1911,0.018,0.220,0.509,0.623,0.654
MAG-GUT1912,0.020,0.164,0.366,0.480,0.597
MAG-GUT1914,0.016,0.218,0.511,0.620,0.657
MAG-GUT19155,0.009,0.133,0.352,0.479,0.580
MAG-GUT1915,0.019,0.248,0.605,0.717,0.766
MAG-GUT19165,0.015,0.153,0.365,0.467,0.572
MAG-GUT19182,0.055,0.305,0.538,0.616,0.599
MAG-GUT19188,0.015,0.183,0.410,0.516,0.604
MAG-GUT19215,0.052,0.464,0.777,0.820,0.808
MAG-GUT19219,0.054,0.306,0.541,0.629,0.598
MAG-GUT19220,0.014,0.157,0.352,0.449,0.521
MAG-GUT19226,0.024,0.181,0.366,0.426,0.416
MAG-GUT19290,0.009,0.138,0.349,0.411,0.352
MAG-GUT19307,0.102,0.551,0.830,0.861,0.852
MAG-GUT1930,0.005,0.125,0.334,0.433,0.636
MAG-GUT19408,0.031,0.311,0.591,0.649,0.515
MAG-GUT19423,0.012,0.136,0.349,0.466,0.572
MAG-GUT19428,0.014,0.166,0.437,0.514,0.358
MAG-GUT19429,0.103,0.549,0.828,0.863,0.851
MAG-GUT19459,0.037,0.306,0.586,0.687,0.695
MAG-GUT1946,0.023,0.256,0.565,0.692,0.721
MAG-GUT19533,0.016,0.168,0.381,0.465,0.496
MAG-GUT19546,0.014,0.174,0.382,0.478,0.585
MAG-GUT1954,0.004,0.102,0.289,0.400,0.590
MAG-GUT19561,0.014,0.288,0.644,0.736,0.806
MAG-GUT19573,0.021,0.184,0.412,0.507,0.610
MAG-GUT19592,0.029,0.330,0.626,0.676,0.533
MAG-GUT19599,0.013,0.248,0.563,0.664,0.733
MAG-GUT1959,0.021,0.263,0.603,0.725,0.741
MAG-GUT195,0.016,0.214,0.519,0.618,0.602
MAG-GUT19615,0.018,0.181,0.396,0.489,0.588
MAG-GUT19642,0.017,0.155,0.311,0.371,0.378
MAG-GUT19644,0.023,0.234,0.489,0.571,0.582
MAG-GUT19648,0.010,0.130,0.305,0.393,0.493
MAG-GUT19650,0.055,0.300,0.535,0.630,0.611
MAG-GUT19680,0.059,0.385,0.655,0.734,0.653
MAG-GUT19738,0.027,0.271,0.574,0.664,0.697
MAG-GUT1975,0.062,0.420,0.692,0.756,0.754
MAG-GUT19764,0.012,0.145,0.332,0.424,0.523
MAG-GUT19787,0.024,0.197,0.389,0.463,0.546
MAG-GUT19808,0.016,0.182,0.394,0.477,0.512
MAG-GUT19853,0.010,0.181,0.459,0.605,0.735
MAG-GUT1986,0.066,0.415,0.697,0.742,0.750
MAG-GUT19932,0.078,0.437,0.652,0.692,0.659
MAG-GUT19947,0.006,0.160,0.478,0.618,0.705
MAG-GUT19980,0.014,0.227,0.537,0.635,0.629
MAG-GUT19990,0.101,0.539,0.818,0.859,0.845
MAG-GUT19996,0.015,0.139,0.333,0.424,0.537
MAG-GUT20063,0.029,0.220,0.440,0.506,0.493
MAG-GUT20126,0.012,0.160,0.431,0.553,0.638
MAG-GUT20177,0.030,0.232,0.463,0.554,0.543
MAG-GUT2019,0.016,0.162,0.391,0.477,0.465
MAG-GUT2025,0.024,0.278,0.629,0.742,0.768
MAG-GUT20261,0.015,0.217,0.524,0.611,0.601
MAG-GUT20287,0.036,0.411,0.799,0.858,0.853
MAG-GUT20293,0.022,0.167,0.335,0.413,0.456
MAG-GUT20294,0.106,0.549,0.830,0.867,0.857
MAG-GUT2031,0.007,0.127,0.341,0.449,0.644
MAG-GUT20416,0.102,0.568,0.839,0.882,0.864
MAG-GUT20461,0.013,0.142,0.390,0.514,0.608
MAG-GUT20500,0.011,0.160,0.397,0.482,0.495
MAG-GUT2053,0.039,0.236,0.389,0.419,0.363
MAG-GUT20540,0.036,0.401,0.781,0.852,0.838
MAG-GUT20578,0.045,0.264,0.498,0.567,0.515
MAG-GUT2058,0.018,0.241,0.552,0.663,0.695
MAG-GUT20603,0.030,0.361,0.719,0.798,0.808
MAG-GUT2060,0.015,0.161,0.374,0.460,0.445
MAG-GUT20615,0.038,0.297,0.586,0.664,0.669
MAG-GUT2061,0.004,0.102,0.290,0.397,0.612
MAG-GUT20624,0.020,0.210,0.465,0.566,0.642
MAG-GUT20639,0.029,0.275,0.567,0.669,0.737
MAG-GUT20745,0.021,0.219,0.494,0.592,0.586
MAG-GUT2078,0.014,0.189,0.453,0.548,0.597
MAG-GUT2079,0.046,0.371,0.696,0.781,0.780
MAG-GUT20810,0.018,0.174,0.396,0.496,0.525
MAG-GUT2081,0.023,0.236,0.458,0.522,0.537
MAG-GUT2086,0.025,0.222,0.435,0.507,0.517
MAG-GUT20896,0.058,0.375,0.657,0.720,0.658
MAG-GUT20972,0.051,0.300,0.528,0.607,0.585
MAG-GUT20976,0.015,0.159,0.368,0.459,0.566
MAG-GUT20984,0.046,0.349,0.655,0.740,0.730
MAG-GUT21052,0.007,0.139,0.387,0.498,0.472
MAG-GUT21072,0.036,0.276,0.529,0.620,0.648
MAG-GUT21076,0.015,0.161,0.371,0.465,0.591
MAG-GUT21093,0.043,0.312,0.581,0.660,0.675
MAG-GUT21102,0.069,0.352,0.582,0.650,0.667
MAG-GUT2110,0.014,0.223,0.541,0.676,0.763
MAG-GUT21122,0.055,0.293,0.523,0.622,0.596
MAG-GUT21168,0.043,0.260,0.418,0.454,0.455
MAG-GUT21188,0.043,0.316,0.588,0.670,0.689
MAG-GUT21326,0.035,0.264,0.491,0.585,0.611
MAG-GUT21377,0.009,0.118,0.318,0.433,0.491
MAG-GUT21378,0.032,0.273,0.523,0.619,0.641
MAG-GUT21385,0.015,0.148,0.347,0.442,0.551
MAG-GUT2139,0.102,0.654,0.944,0.961,0.932
MAG-GUT21424,0.013,0.255,0.589,0.681,0.765
MAG-GUT21444,0.033,0.277,0.527,0.617,0.637
MAG-GUT21498,0.014,0.163,0.380,0.468,0.587
MAG-GUT21531,0.041,0.308,0.580,0.673,0.701
MAG-GUT21682,0.007,0.152,0.385,0.485,0.657
MAG-GUT21728,0.072,0.374,0.579,0.638,0.609
MAG-GUT21785,0.038,0.299,0.561,0.650,0.670
MAG-GUT21953,0.013,0.230,0.596,0.733,0.823
MAG-GUT21962,0.063,0.453,0.757,0.807,0.806
MAG-GUT21972,0.021,0.239,0.519,0.622,0.676
MAG-GUT2201,0.033,0.336,0.633,0.717,0.711
MAG-GUT2203,0.033,0.407,0.783,0.846,0.850
MAG-GUT22049,0.014,0.254,0.588,0.688,0.771
MAG-GUT22121,0.008,0.128,0.333,0.418,0.428
MAG-GUT22184,0.036,0.295,0.565,0.651,0.624
MAG-GUT22238,0.036,0.259,0.492,0.568,0.595
MAG-GUT22266,0.014,0.158,0.384,0.480,0.594
MAG-GUT22420,0.023,0.242,0.539,0.649,0.725
MAG-GUT22452,0.049,0.383,0.676,0.749,0.747
MAG-GUT22456,0.042,0.303,0.563,0.656,0.651
MAG-GUT22496,0.012,0.154,0.394,0.521,0.619
MAG-GUT22502,0.021,0.216,0.489,0.590,0.658
MAG-GUT2250,0.039,0.350,0.642,0.726,0.719
MAG-GUT22547,0.017,0.178,0.392,0.499,0.589
MAG-GUT2256,0.058,0.399,0.676,0.738,0.685
MAG-GUT22591,0.010,0.121,0.290,0.374,0.477
MAG-GUT22606,0.069,0.381,0.615,0.647,0.587
MAG-GUT22619,0.011,0.151,0.400,0.529,0.635
MAG-GUT22642,0.017,0.205,0.443,0.533,0.539
MAG-GUT22670,0.011,0.198,0.498,0.638,0.776
MAG-GUT22684,0.016,0.183,0.406,0.500,0.588
MAG-GUT22695,0.017,0.187,0.408,0.507,0.615
MAG-GUT22751,0.020,0.152,0.286,0.333,0.365
MAG-GUT22776,0.049,0.404,0.737,0.808,0.776
MAG-GUT22830,0.036,0.369,0.713,0.803,0.815
MAG-GUT22848,0.049,0.373,0.681,0.751,0.746
MAG-GUT22878,0.049,0.300,0.569,0.653,0.691
MAG-GUT2287,0.017,0.158,0.370,0.470,0.575
MAG-GUT2306,0.119,0.664,0.913,0.931,0.898
MAG-GUT23210,0.046,0.334,0.626,0.709,0.721
MAG-GUT2323,0.077,0.539,0.853,0.896,0.868
MAG-GUT23266,0.017,0.153,0.315,0.375,0.381
MAG-GUT23276,0.054,0.375,0.679,0.767,0.782
MAG-GUT2327,0.027,0.273,0.578,0.674,0.675
MAG-GUT23295,0.062,0.326,0.577,0.647,0.595
MAG-GUT23346,0.016,0.217,0.498,0.600,0.644
MAG-GUT23356,0.014,0.164,0.375,0.471,0.582
MAG-GUT23387,0.028,0.365,0.707,0.775,0.746
MAG-GUT23397,0.046,0.346,0.630,0.705,0.704
MAG-GUT23420,0.018,0.177,0.419,0.520,0.615
MAG-GUT23449,0.017,0.156,0.353,0.450,0.557
MAG-GUT23546,0.031,0.226,0.453,0.511,0.488
MAG-GUT23604,0.018,0.226,0.545,0.653,0.695
MAG-GUT23608,0.028,0.219,0.415,0.488,0.460
MAG-GUT23613,0.020,0.229,0.524,0.634,0.715
MAG-GUT23645,0.010,0.113,0.305,0.408,0.465
MAG-GUT2366,0.069,0.587,0.944,0.971,0.956
MAG-GUT23691,0.014,0.161,0.377,0.462,0.494
MAG-GUT23723,0.016,0.228,0.522,0.617,0.662
MAG-GUT23746,0.014,0.161,0.375,0.460,0.470
MAG-GUT23753,0.059,0.430,0.711,0.762,0.767
MAG-GUT23754,0.091,0.529,0.779,0.822,0.811
MAG-GUT23809,0.039,0.297,0.573,0.659,0.671
MAG-GUT23816,0.036,0.289,0.546,0.635,0.632
MAG-GUT23860,0.021,0.233,0.492,0.594,0.654
MAG-GUT23890,0.024,0.238,0.542,0.652,0.733
MAG-GUT23960,0.019,0.175,0.421,0.487,0.513
MAG-GUT23967,0.020,0.135,0.262,0.306,0.329
MAG-GUT23979,0.050,0.441,0.771,0.821,0.811
MAG-GUT24052,0.033,0.405,0.781,0.850,0.846
MAG-GUT24070,0.017,0.212,0.470,0.568,0.566
MAG-GUT24105,0.021,0.231,0.499,0.581,0.612
MAG-GUT24113,0.023,0.245,0.545,0.646,0.637
MAG-GUT24122,0.018,0.164,0.382,0.489,0.597
MAG-GUT24126,0.039,0.255,0.514,0.613,0.655
MAG-GUT24142,0.017,0.153,0.311,0.357,0.375
MAG-GUT2417,0.024,0.268,0.588,0.696,0.675
MAG-GUT24184,0.026,0.284,0.591,0.693,0.733
MAG-GUT24197,0.016,0.178,0.403,0.497,0.600
MAG-GUT24211,0.022,0.250,0.550,0.675,0.747
MAG-GUT24313,0.015,0.160,0.368,0.468,0.578
MAG-GUT24369,0.043,0.316,0.598,0.674,0.670
MAG-GUT2438,0.067,0.550,0.906,0.956,0.947
MAG-GUT24441,0.031,0.238,0.456,0.525,0.501
MAG-GUT24472,0.009,0.153,0.394,0.488,0.519
MAG-GUT24503,0.014,0.165,0.361,0.463,0.575
MAG-GUT24507,0.019,0.219,0.496,0.586,0.618
MAG-GUT24534,0.016,0.175,0.402,0.485,0.534
MAG-GUT24564,0.010,0.174,0.468,0.597,0.735
MAG-GUT24574,0.016,0.193,0.500,0.624,0.702
MAG-GUT24606,0.011,0.268,0.633,0.763,0.846
MAG-GUT24616,0.011,0.184,0.469,0.621,0.733
MAG-GUT24642,0.021,0.230,0.491,0.609,0.669
MAG-GUT24657,0.015,0.249,0.569,0.669,0.759
MAG-GUT24670,0.011,0.127,0.341,0.466,0.574
MAG-GUT24686,0.020,0.200,0.449,0.543,0.614
MAG-GUT24735,0.012,0.137,0.322,0.424,0.529
MAG-GUT24763,0.009,0.152,0.421,0.533,0.649
MAG-GUT24765,0.055,0.481,0.796,0.841,0.843
MAG-GUT24787,0.010,0.186,0.483,0.612,0.741
MAG-GUT24822,0.015,0.149,0.346,0.437,0.550
MAG-GUT24836,0.014,0.141,0.325,0.424,0.530
MAG-GUT24840,0.011,0.168,0.454,0.597,0.722
MAG-GUT24988,0.012,0.171,0.462,0.610,0.731
MAG-GUT25022,0.013,0.231,0.524,0.619,0.700
MAG-GUT25048,0.032,0.365,0.702,0.785,0.788
MAG-GUT25055,0.017,0.307,0.706,0.833,0.903
MAG-GUT25075,0.035,0.316,0.603,0.656,0.520
MAG-GUT25077,0.058,0.397,0.690,0.760,0.689
MAG-GUT2507,0.017,0.158,0.353,0.463,0.564
MAG-GUT25223,0.032,0.332,0.640,0.695,0.553
MAG-GUT2525,0.015,0.159,0.355,0.455,0.568
MAG-GUT25263,0.030,0.327,0.617,0.662,0.536
MAG-GUT25307,0.010,0.164,0.436,0.584,0.734
MAG-GUT25340,0.028,0.334,0.692,0.762,0.769
MAG-GUT25354,0.056,0.304,0.552,0.634,0.619
MAG-GUT25404,0.042,0.329,0.617,0.707,0.724
MAG-GUT25429,0.082,0.438,0.686,0.729,0.695
MAG-GUT25519,0.048,0.320,0.564,0.643,0.654
MAG-GUT25590,0.006,0.130,0.352,0.472,0.678
MAG-GUT25605,0.026,0.241,0.517,0.607,0.666
MAG-GUT25621,0.009,0.151,0.383,0.487,0.563
MAG-GUT25650,0.012,0.172,0.449,0.517,0.380
MAG-GUT25763,0.027,0.216,0.441,0.543,0.603
MAG-GUT25802,0.040,0.317,0.590,0.675,0.701
MAG-GUT25808,0.024,0.251,0.513,0.618,0.667
MAG-GUT25847,0.010,0.169,0.428,0.563,0.595
MAG-GUT25961,0.028,0.230,0.462,0.567,0.634
MAG-GUT26038,0.051,0.294,0.540,0.616,0.595
MAG-GUT26059,0.017,0.214,0.473,0.577,0.637
MAG-GUT2607,0.041,0.274,0.512,0.596,0.586
MAG-GUT26088,0.017,0.239,0.540,0.648,0.619
MAG-GUT26204,0.054,0.307,0.538,0.627,0.610
MAG-GUT26205,0.033,0.226,0.444,0.547,0.621
MAG-GUT26238,0.021,0.222,0.457,0.502,0.398
MAG-GUT26239,0.042,0.336,0.624,0.712,0.737
MAG-GUT26272,0.011,0.147,0.386,0.504,0.602
MAG-GUT26273,0.021,0.220,0.493,0.593,0.629
MAG-GUT26293,0.045,0.368,0.665,0.737,0.732
MAG-GUT26303,0.015,0.194,0.467,0.595,0.709
MAG-GUT26315,0.015,0.228,0.545,0.638,0.619
MAG-GUT26333,0.057,0.302,0.541,0.626,0.598
MAG-GUT26344,0.039,0.266,0.529,0.616,0.630
MAG-GUT26365,0.013,0.206,0.507,0.610,0.599
MAG-GUT26387,0.027,0.244,0.483,0.582,0.661
MAG-GUT26400,0.041,0.304,0.566,0.664,0.680
MAG-GUT26401,0.016,0.205,0.484,0.603,0.658
MAG-GUT26441,0.062,0.306,0.544,0.628,0.608
MAG-GUT26459,0.030,0.259,0.506,0.596,0.672
MAG-GUT26493,0.017,0.189,0.459,0.567,0.635
MAG-GUT26496,0.010,0.172,0.446,0.568,0.612
MAG-GUT26501,0.020,0.215,0.508,0.628,0.690
MAG-GUT26512,0.009,0.181,0.482,0.597,0.648
MAG-GUT26524,0.008,0.137,0.364,0.477,0.512
MAG-GUT26531,0.013,0.188,0.472,0.598,0.709
MAG-GUT2655,0.021,0.220,0.496,0.596,0.651
MAG-GUT26562,0.032,0.233,0.486,0.590,0.641
MAG-GUT26578,0.014,0.150,0.349,0.442,0.559
MAG-GUT26586,0.053,0.379,0.647,0.705,0.623
MAG-GUT26587,0.019,0.196,0.432,0.539,0.644
MAG-GUT2658,0.017,0.169,0.385,0.486,0.584
MAG-GUT2660,0.016,0.137,0.279,0.313,0.360
MAG-GUT26615,0.015,0.178,0.395,0.480,0.584
MAG-GUT26757,0.020,0.210,0.481,0.588,0.650
MAG-GUT26803,0.018,0.152,0.289,0.330,0.355
MAG-GUT26973,0.020,0.197,0.406,0.452,0.348
MAG-GUT27018,0.027,0.214,0.415,0.493,0.471
MAG-GUT27032,0.013,0.234,0.545,0.640,0.719
MAG-GUT27053,0.016,0.179,0.403,0.494,0.531
MAG-GUT27063,0.014,0.207,0.479,0.563,0.542
MAG-GUT27097,0.008,0.113,0.324,0.463,0.651
MAG-GUT27121,0.018,0.198,0.447,0.542,0.562
MAG-GUT27127,0.029,0.229,0.476,0.581,0.634
MAG-GUT27129,0.026,0.295,0.607,0.693,0.734
MAG-GUT27132,0.021,0.213,0.467,0.555,0.617
MAG-GUT27144,0.018,0.218,0.485,0.575,0.637
MAG-GUT27169,0.034,0.224,0.474,0.583,0.635
MAG-GUT271,0.017,0.237,0.567,0.691,0.754
MAG-GUT27271,0.017,0.178,0.390,0.490,0.578
MAG-GUT27283,0.017,0.178,0.394,0.484,0.592
MAG-GUT27297,0.014,0.183,0.410,0.516,0.615
MAG-GUT27309,0.009,0.116,0.299,0.400,0.492
MAG-GUT27329,0.009,0.111,0.306,0.415,0.507
MAG-GUT27420,0.052,0.522,0.923,0.959,0.951
MAG-GUT27426,0.020,0.214,0.469,0.580,0.652
MAG-GUT27436,0.018,0.210,0.464,0.571,0.631
MAG-GUT27437,0.050,0.528,0.908,0.955,0.938
MAG-GUT27453,0.054,0.521,0.914,0.956,0.948
MAG-GUT27476,0.061,0.442,0.749,0.803,0.787
MAG-GUT27477,0.034,0.314,0.628,0.712,0.736
MAG-GUT27501,0.062,0.445,0.742,0.804,0.778
MAG-GUT2752,0.043,0.262,0.495,0.570,0.575
MAG-GUT2776,0.014,0.184,0.404,0.506,0.593
MAG-GUT27781,0.075,0.494,0.804,0.856,0.823
MAG-GUT27783,0.066,0.444,0.767,0.822,0.803
MAG-GUT2783,0.019,0.148,0.310,0.358,0.388
MAG-GUT27936,0.013,0.139,0.379,0.494,0.591
MAG-GUT27968,0.011,0.134,0.379,0.494,0.603
MAG-GUT28018,0.038,0.271,0.506,0.595,0.588
MAG-GUT28028,0.034,0.260,0.495,0.568,0.576
MAG-GUT28034,0.022,0.217,0.465,0.552,0.603
MAG-GUT28050,0.026,0.218,0.455,0.545,0.595
MAG-GUT28054,0.020,0.226,0.469,0.559,0.607
MAG-GUT28074,0.013,0.167,0.392,0.486,0.584
MAG-GUT28099,0.019,0.222,0.485,0.593,0.654
MAG-GUT28110,0.021,0.210,0.482,0.580,0.641
MAG-GUT28130,0.020,0.211,0.484,0.601,0.659
MAG-GUT28136,0.094,0.621,0.941,0.964,0.960
MAG-GUT28206,0.067,0.502,0.819,0.870,0.855
MAG-GUT28243,0.024,0.276,0.589,0.697,0.712
MAG-GUT28252,0.017,0.178,0.409,0.507,0.612
MAG-GUT28366,0.015,0.250,0.608,0.710,0.765
MAG-GUT28379,0.013,0.243,0.601,0.713,0.748
MAG-GUT2841,0.039,0.470,0.871,0.926,0.923
MAG-GUT2847,0.012,0.163,0.432,0.579,0.663
MAG-GUT28570,0.076,0.417,0.671,0.718,0.649
MAG-GUT28651,0.056,0.435,0.759,0.810,0.795
MAG-GUT2865,0.005,0.106,0.321,0.419,0.547
MAG-GUT28666,0.050,0.429,0.758,0.814,0.803
MAG-GUT28677,0.050,0.423,0.743,0.801,0.782
MAG-GUT2867,0.011,0.165,0.435,0.577,0.673
MAG-GUT28702,0.057,0.451,0.794,0.849,0.831
MAG-GUT28721,0.050,0.372,0.643,0.688,0.630
MAG-GUT28738,0.051,0.370,0.647,0.696,0.621
MAG-GUT2873,0.049,0.466,0.874,0.939,0.939
MAG-GUT2874,0.004,0.099,0.313,0.419,0.550
MAG-GUT28806,0.013,0.173,0.377,0.454,0.406
MAG-GUT2884,0.018,0.180,0.407,0.491,0.606
MAG-GUT28915,0.052,0.499,0.876,0.941,0.938
MAG-GUT28960,0.079,0.476,0.784,0.832,0.788
MAG-GUT28964,0.066,0.463,0.772,0.819,0.779
MAG-GUT28976,0.069,0.463,0.757,0.817,0.767
MAG-GUT28983,0.020,0.228,0.490,0.579,0.599
MAG-GUT29001,0.070,0.455,0.754,0.805,0.763
MAG-GUT29051,0.158,0.736,0.960,0.969,0.963
MAG-GUT29076,0.159,0.715,0.940,0.950,0.936
MAG-GUT29111,0.016,0.179,0.396,0.492,0.590
MAG-GUT29134,0.020,0.190,0.423,0.527,0.630
MAG-GUT2914,0.016,0.169,0.385,0.480,0.560
MAG-GUT29175,0.057,0.462,0.802,0.866,0.848
MAG-GUT29189,0.026,0.317,0.653,0.727,0.754
MAG-GUT29214,0.028,0.322,0.671,0.755,0.781
MAG-GUT29221,0.028,0.313,0.654,0.731,0.766
MAG-GUT29239,0.044,0.298,0.543,0.616,0.606
MAG-GUT29293,0.011,0.112,0.251,0.308,0.291
MAG-GUT29345,0.016,0.158,0.356,0.456,0.559
MAG-GUT29364,0.012,0.137,0.327,0.422,0.525
MAG-GUT29376,0.014,0.159,0.370,0.468,0.568
MAG-GUT2937,0.035,0.388,0.765,0.857,0.869
MAG-GUT29414,0.013,0.139,0.295,0.359,0.429
MAG-GUT29476,0.033,0.402,0.784,0.853,0.839
MAG-GUT29483,0.020,0.205,0.460,0.553,0.603
MAG-GUT29494,0.016,0.141,0.288,0.351,0.413
MAG-GUT29515,0.057,0.464,0.806,0.861,0.842
MAG-GUT29557,0.011,0.238,0.542,0.632,0.715
MAG-GUT29569,0.054,0.433,0.750,0.803,0.783
MAG-GUT29582,0.036,0.267,0.520,0.608,0.629
MAG-GUT29587,0.101,0.546,0.824,0.867,0.850
MAG-GUT29600,0.037,0.285,0.539,0.622,0.634
MAG-GUT2965,0.017,0.157,0.323,0.383,0.377
MAG-GUT29781,0.073,0.370,0.609,0.668,0.687
MAG-GUT29784,0.025,0.249,0.511,0.599,0.651
MAG-GUT29812,0.016,0.162,0.364,0.456,0.569
MAG-GUT29856,0.078,0.381,0.625,0.685,0.699
MAG-GUT29860,0.031,0.240,0.468,0.555,0.540
MAG-GUT29870,0.022,0.230,0.530,0.618,0.610
MAG-GUT29878,0.026,0.276,0.562,0.665,0.726
MAG-GUT29885,0.009,0.131,0.337,0.449,0.505
MAG-GUT29911,0.036,0.277,0.528,0.616,0.645
MAG-GUT29933,0.016,0.153,0.345,0.438,0.559
MAG-GUT29963,0.016,0.279,0.629,0.728,0.793
MAG-GUT30085,0.020,0.299,0.717,0.837,0.894
MAG-GUT30091,0.014,0.160,0.376,0.452,0.456
MAG-GUT30098,0.006,0.093,0.251,0.311,0.254
MAG-GUT30099,0.020,0.223,0.498,0.596,0.609
MAG-GUT30102,0.018,0.163,0.317,0.375,0.410
MAG-GUT30142,0.056,0.309,0.549,0.627,0.614
MAG-GUT30268,0.016,0.154,0.355,0.455,0.552
MAG-GUT30319,0.009,0.155,0.421,0.540,0.638
MAG-GUT30323,0.018,0.197,0.431,0.529,0.631
MAG-GUT30383,0.054,0.304,0.544,0.631,0.610
MAG-GUT30439,0.018,0.237,0.561,0.685,0.734
MAG-GUT30448,0.016,0.182,0.395,0.497,0.587
MAG-GUT30479,0.021,0.234,0.561,0.671,0.718
MAG-GUT30522,0.014,0.149,0.339,0.438,0.540
MAG-GUT30539,0.073,0.403,0.613,0.645,0.621
MAG-GUT30560,0.014,0.156,0.350,0.429,0.546
MAG-GUT30581,0.083,0.385,0.639,0.709,0.708
MAG-GUT30604,0.019,0.195,0.442,0.545,0.604
MAG-GUT30639,0.173,0.637,0.839,0.861,0.857
MAG-GUT30699,0.091,0.481,0.747,0.784,0.780
MAG-GUT30728,0.052,0.307,0.568,0.637,0.613
MAG-GUT308,0.069,0.460,0.740,0.799,0.778
MAG-GUT3090,0.043,0.343,0.634,0.732,0.742
MAG-GUT30970,0.057,0.304,0.560,0.632,0.607
MAG-GUT31002,0.012,0.146,0.379,0.504,0.616
MAG-GUT31010,0.017,0.173,0.399,0.496,0.597
MAG-GUT31018,0.041,0.307,0.594,0.676,0.706
MAG-GUT31079,0.018,0.183,0.420,0.519,0.609
MAG-GUT31093,0.099,0.517,0.782,0.823,0.812
MAG-GUT3110,0.018,0.217,0.474,0.582,0.653
MAG-GUT31138,0.064,0.394,0.668,0.734,0.706
